spectrum_number,sample_name,dtime,channel_101,channel_102,channel_103,channel_104,channel_105,channel_106,channel_107
,bbhot,11:13:00 AM,1388.7,1385.52,19.61,11.07,10.85,15.54,23.49
,001 - Biotite Granite,11:20:00 AM,,,19.59,11.04,11.77,17.03,23.58
,002 - Muscovite-biotite Granite,11:26:00 AM,,,19.55,11.05,11.7,16.45,23.66
,007 - Granodiorite,11:30:00 AM,,,19.52,11.05,11.89,16.06,23.71
,022 - Quartz Monzonite,11:35:00 AM,,,19.5,11.07,11.76,15.79,23.77
,025 - Diorite,11:40:00 AM,,,19.49,11.04,12.2,15.73,23.82
,026 - Andesite Porphyry,11:44:00 AM,,,19.46,11.03,11.76,15.82,23.89
,029 - Hornblende Gabbro,11:50:00 AM,,,19.43,11.05,11.74,15.43,23.96
,031 - Gabbro,11:54:00 AM,,,19.41,11.03,11.75,15.69,23.99
,bbwarm,12:03:00 PM,1274.26,1272.05,19.47,10.99,10.75,15.78,24.1
